Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Adjunto,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
visualizar el menú digital   ,MMN-2,10006,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:52 PM,19/jul/26 7:50 PM,16/jul/26 9:11 PM,,,0,"*Descripción:* *Como* cliente, *Quiero* ver el menú digital en mi propio celular, *Para* poder revisar las opciones y elegir qué comer cómodamente desde mi mesa.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Navegación y carga visual): Dado que* el cliente ingresa al enlace web del menú digital, *Cuando* la interfaz carga en su celular, *Entonces* los platos deben mostrarse correctamente ordenados por categorías (ej. Entradas, Platos de Fondo, Bebidas) para que pueda buscar fácilmente deslizando la pantalla.
* *Criterio 2 (Aviso de falta de stock): Dado que* un plato se ha terminado en la cocina, *Cuando* el cliente revisa el menú en su dispositivo, *Entonces* dicho plato debe aparecer bloqueado y con una etiqueta de ""Agotado"", impidiendo que lo agregue a su pedido.",,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|hzzzzo:,,,MMN Sprint 1,5.0,,,,En curso,15/jul/26 12:52 PM,10010,MMN-6,Gestion del cliente
Selección de mesas en pantalla de entrada,MMN-22,10058,Función,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,16/jul/26 8:17 PM,19/jul/26 7:52 PM,21/jul/26 8:51 PM,,,0,"*Descripción:* *Como* cliente que llega al local, *Quiero* ver una pantalla en la entrada con las mesas disponibles, *Para* poder elegir dónde sentarme o indicar si mi pedido es para llevar, antes de pasar a mi mesa.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Vista principal en recepción): Dado que* el cliente entra al restaurante, *Cuando* observa la pantalla principal de la entrada, *Entonces* el sistema debe mostrarle visualmente qué mesas están libres, cuáles ocupadas y un botón claro para ""Pedir para llevar"".
* *Criterio 2 (Generación del código): Dado que* el cliente toca una mesa libre en la pantalla, *Cuando* confirma su selección, *Entonces* el sistema debe marcar esa mesa como ocupada y mostrar en esa misma pantalla un código QR grande y único para esa mesa.",,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,,,,,,,,,,0|hzzzzw:,,,MMN Sprint 1,5.0,,,,En curso,16/jul/26 8:17 PM,10010,MMN-6,Gestion del cliente
Escaneo de QR ,MMN-1,10005,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:50 PM,19/jul/26 7:52 PM,16/jul/26 9:11 PM,,,0,"*Descripción:* *Como* cliente, *Quiero* escanear con mi celular el código QR que apareció en la pantalla de la entrada, *Para* que el menú digital se abra directamente en mi teléfono y poder ir a sentarme a revisar los platos.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Apertura de la carta): Dado que* el cliente está frente a la pantalla de recepción con el código QR visible, *Cuando* lo escanea con la cámara de su celular, *Entonces* se debe abrir automáticamente el menú del restaurante en el navegador de su teléfono.
* *Criterio 2 (Vínculo automático): Dado que* el cliente escaneó el QR generado tras elegir su ubicación, *Cuando* ingresa al menú en su celular, *Entonces* el sistema ya debe tener registrado internamente el número de su mesa para que la cocina sepa exactamente a dónde enviar la comida.",,,,,,,,,,,,16/jul/26 3:46 PM;ug:06e8754a-3300-4ec6-8813-60949499e4f5;image-20260716-204929.png;https://lujanchambimilagros2.atlassian.net/rest/api/3/attachment/content/10000,0|i00004:,,,MMN Sprint 1,3.0,,,,En curso,15/jul/26 12:50 PM,10010,MMN-6,Gestion del cliente
Agregar producto al carrito,MMN-3,10007,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:52 PM,19/jul/26 7:54 PM,15/jul/26 5:33 PM,,,0,"*Descripción:* *Como* cliente, *Quiero* ir agregando los platos a un carrito virtual, *Para* revisar un resumen de mi pedido y saber el monto total que voy a pagar antes de confirmar la orden a la cocina.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Suma automática): Dado que* el cliente está navegando por el menú, *Cuando* presiona el botón ""Agregar"" en un plato, *Entonces* el producto se suma a su lista y el precio total de la cuenta se actualiza en el momento.
* *Criterio 2 (Corrección de errores): Dado que* el cliente tiene productos en su carrito, *Cuando* revisa el resumen antes de pedir, *Entonces* debe tener la opción de eliminar un plato o modificar la cantidad si quiere pedir más.",,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:ui,,,MMN Sprint 1,5.0,,,,En curso,15/jul/26 12:52 PM,10010,MMN-6,Gestion del cliente
visualización de pedidos(Cocina),MMN-13,10017,Función,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 1:01 PM,19/jul/26 7:57 PM,21/jul/26 8:49 PM,,,0,"*Descripción:* *Como* personal de cocina, *Quiero* ver los pedidos nuevos aparecer en mi pantalla en tiempo real, *Para* empezar a prepararlos inmediatamente sin tener que esperar a que el mesero camine hasta la cocina con un papel.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Aparición instantánea): Dado que* el cliente confirma su orden desde la mesa, *Cuando* el pedido se envía con éxito, *Entonces* debe aparecer al instante una nueva tarjeta en la pantalla de la cocina.
* *Criterio 2 (Actualización automática): Dado que* el cocinero tiene la pantalla del sistema abierta, *Cuando* ingresa una nueva orden, *Entonces* la interfaz debe actualizarse sola mostrando el nuevo pedido (quizás con una pequeña etiqueta de ""Nuevo"") sin necesidad de que el cocinero tenga que recargar la página manualmente.

h3. ",,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:uii,,,MMN Sprint 1,5.0,,,,En curso,15/jul/26 1:01 PM,10011,MMN-7,Gestion de cocina
Detalles del pedido(Cocina),MMN-12,10016,Función,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:59 PM,19/jul/26 7:57 PM,,,,0,"*Descripción:* *Como* personal de cocina, *Quiero* ver el detalle exacto de cada plato dentro de un pedido, *Para* saber las cantidades correctas y leer si el cliente pidió alguna modificación especial para no cometer errores en la preparación.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Lista clara): Dado que* el cocinero revisa un pedido entrante, *Cuando* presiona sobre la tarjeta del pedido, *Entonces* el sistema debe desplegar una lista clara indicando el nombre del plato, la cantidad y la mesa destino.
* *Criterio 2 (Notas resaltadas): Dado que* el cliente dejó una nota especial (por ejemplo, ""sin mayonesa""), *Cuando* el cocinero lee los detalles, *Entonces* esa indicación debe estar resaltada visualmente debajo del plato correspondiente para que no pase desapercibida.",,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:uj,,,MMN Sprint 1,3.0,,,,En curso,15/jul/26 12:59 PM,10011,MMN-7,Gestion de cocina
Autenticación de Administrador,MMN-16,10020,Función,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,,,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 1:09 PM,19/jul/26 7:58 PM,,,,0,"*Descripción:* *Como* administrador del restaurante, *Quiero* iniciar sesión con mi usuario y contraseña, *Para* poder entrar al panel de control de forma segura y evitar que personas no autorizadas vean o modifiquen la información del negocio.

*Criterios de Aceptación (Acceptance Criteria):*

* *Criterio 1 (Acceso correcto): Dado que* soy el administrador y estoy en la pantalla de entrada, *Cuando* escribo mi usuario y contraseña correctos, *Entonces* el sistema me da la bienvenida y me deja entrar a ver las opciones del restaurante.
* *Criterio 2 (Bloqueo de intrusos): Dado que* una persona intenta entrar al panel de administración, *Cuando* escribe una contraseña equivocada o inventada, *Entonces* el sistema le niega el paso y le muestra un mensaje de alerta diciendo ""Datos incorrectos"".",,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:uji,,,MMN Sprint 1,3.0,,,,En curso,15/jul/26 1:09 PM,10012,MMN-8,Gestion de Panel Administrativo
"Como cliente, quiero confirmar mi pedido para enviarlo a cocina.",MMN-4,10008,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:53 PM,16/jul/26 8:19 PM,16/jul/26 7:52 PM,,,0,,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:uk,,,,,,,,En curso,15/jul/26 12:53 PM,10010,MMN-6,Gestion del cliente
"Como cliente, quiero consultar el estado de mi pedido.",MMN-5,10009,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,sebastian Arista Serna,712020:bcf4a33c-2529-481a-94ce-32d8c33a6eba,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:53 PM,16/jul/26 8:20 PM,15/jul/26 1:23 PM,,,0,,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000g:ul,,,,,,,,En curso,15/jul/26 12:53 PM,10010,MMN-6,Gestion del cliente
"Como cliente, quiero solicitar la cuenta desde el sistema.",MMN-9,10013,Historia,En curso,MMN,MAMINA,software,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,Medium,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,15/jul/26 12:57 PM,16/jul/26 8:19 PM,16/jul/26 2:51 PM,,,0,,,Milagros Lujan Chambi,712020:f3b14e74-e325-499e-b3a3-5ef7906bfc48,,,,,,,,,,0|i0000i:i,,,,,,,,En curso,15/jul/26 12:57 PM,10010,MMN-6,Gestion del cliente
